date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:22	2287/2287	---MC-	200	added ('OK')	application/json	date:Wed,%2016%20Mar%202022%2007:52:21%20GMT	http://el.commonsupport.com/newwp/naxly/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fel.commonsupport.com%2Fnewwp%2Fnaxly%2F	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-json/oembed/1.0/embed6ac1.json	(from http://el.commonsupport.com/newwp/naxly/)
13:22:22	62685/62685	---MC-	200	added ('OK')	application/rss+xml	etag:%229212d6b0f4011d5d238ecd5964b48bec%22	http://el.commonsupport.com/newwp/naxly/feed/	D:/NAXLY/el.commonsupport.com/newwp/naxly/feed/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:22:23	2373/2373	---MC-	200	added ('OK')	text/xml	date:Wed,%2016%20Mar%202022%2007:52:23%20GMT	http://el.commonsupport.com/newwp/naxly/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fel.commonsupport.com%2Fnewwp%2Fnaxly%2F&format=xml	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-json/oembed/1.0/embed41c2	(from http://el.commonsupport.com/newwp/naxly/)
13:22:26	80870/80870	---MC-	200	added ('OK')	application/json	date:Wed,%2016%20Mar%202022%2007:52:12%20GMT	http://el.commonsupport.com/newwp/naxly/wp-json/wp/v2/pages/9	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-json/wp/v2/pages/9.json	(from http://el.commonsupport.com/newwp/naxly/)
13:22:31	47476/47476	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/04/logo_DS.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/04/logo_DS.png	(from http://el.commonsupport.com/newwp/naxly/)
13:22:36	82252/82252	---MC-	200	added ('OK')	application/json	date:Wed,%2016%20Mar%202022%2007:52:20%20GMT	http://el.commonsupport.com/newwp/naxly/wp-json/	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-json/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:22:37	63847/63847	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Oct%202021%2005:28:08%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/plugins/wp-smush-pro/app/assets/images/smush-lazyloader-1.gif	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/plugins/wp-smush-pro/app/assets/images/smush-lazyloader-1.gif	(from http://el.commonsupport.com/newwp/naxly/)
13:22:37	122651/122651	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:52:32%20GMT	http://el.commonsupport.com/newwp/naxly/artificial-intelligence/	D:/NAXLY/el.commonsupport.com/newwp/naxly/artificial-intelligence/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:22:38	51130/51130	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/logo.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/logo.png	(from http://el.commonsupport.com/newwp/naxly/)
13:22:53	108064/108064	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:52:38%20GMT	http://el.commonsupport.com/newwp/naxly/business-intelligence/	D:/NAXLY/el.commonsupport.com/newwp/naxly/business-intelligence/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:22:53	121755/121755	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:52:38%20GMT	http://el.commonsupport.com/newwp/naxly/machine-learning/	D:/NAXLY/el.commonsupport.com/newwp/naxly/machine-learning/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:22:53	120883/120883	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:52:38%20GMT	http://el.commonsupport.com/newwp/naxly/user-analysis/	D:/NAXLY/el.commonsupport.com/newwp/naxly/user-analysis/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:22:57	60934/60934	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/shape-56.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/shape-56.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:02	15946/15946	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/shape-55.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/shape-55.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:07	120347/120347	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:52:53%20GMT	http://el.commonsupport.com/newwp/naxly/home-boxed/	D:/NAXLY/el.commonsupport.com/newwp/naxly/home-boxed/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:08	138078/138078	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:52:53%20GMT	http://el.commonsupport.com/newwp/naxly/chatbot/	D:/NAXLY/el.commonsupport.com/newwp/naxly/chatbot/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:10	111171/111171	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:52:58%20GMT	http://el.commonsupport.com/newwp/naxly/mobile-app/	D:/NAXLY/el.commonsupport.com/newwp/naxly/mobile-app/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:10	6698/6698	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-3.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-3.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:14	21098/21098	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-2.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-2.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:21	11543/11543	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-4.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-4.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:22	124766/124766	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:08%20GMT	http://el.commonsupport.com/newwp/naxly/sentiment-analysis/	D:/NAXLY/el.commonsupport.com/newwp/naxly/sentiment-analysis/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:24	6721/6721	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-5.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/wheel-5.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:24	107871/107871	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:11%20GMT	http://el.commonsupport.com/newwp/naxly/home-onepage/	D:/NAXLY/el.commonsupport.com/newwp/naxly/home-onepage/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:27	139322/139322	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:10%20GMT	http://el.commonsupport.com/newwp/naxly/home-rtl/	D:/NAXLY/el.commonsupport.com/newwp/naxly/home-rtl/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:29	77408/77408	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:22%20GMT	http://el.commonsupport.com/newwp/naxly/about-company/	D:/NAXLY/el.commonsupport.com/newwp/naxly/about-company/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:31	68481/68481	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:24%20GMT	http://el.commonsupport.com/newwp/naxly/meet-our-team/	D:/NAXLY/el.commonsupport.com/newwp/naxly/meet-our-team/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:32	53135/53135	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:28%20GMT	http://el.commonsupport.com/newwp/naxly/get-in-touch/	D:/NAXLY/el.commonsupport.com/newwp/naxly/get-in-touch/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:33	13018/13018	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-2.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-2.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:36	67499/67499	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:32%20GMT	http://el.commonsupport.com/newwp/naxly/our-services/	D:/NAXLY/el.commonsupport.com/newwp/naxly/our-services/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:37	5418/5418	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/pie-chart-1.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/pie-chart-1.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:39	79011/79011	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:33%20GMT	http://el.commonsupport.com/newwp/naxly/service-details/	D:/NAXLY/el.commonsupport.com/newwp/naxly/service-details/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:43	70469/70469	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:38%20GMT	http://el.commonsupport.com/newwp/naxly/project-2-columns/	D:/NAXLY/el.commonsupport.com/newwp/naxly/project-2-columns/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:43	15286/15286	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-4.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-4.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:49	59883/59883	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:44%20GMT	http://el.commonsupport.com/newwp/naxly/project-3-columns/	D:/NAXLY/el.commonsupport.com/newwp/naxly/project-3-columns/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:49	62124/62124	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:44%20GMT	http://el.commonsupport.com/newwp/naxly/case-studies/	D:/NAXLY/el.commonsupport.com/newwp/naxly/case-studies/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:49	35265/35265	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-3.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-3.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:50	7580/7580	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-5.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-5.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:56	59025/59025	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:49%20GMT	http://el.commonsupport.com/newwp/naxly/naxly_project/baby-care-mobile-app/	D:/NAXLY/el.commonsupport.com/newwp/naxly/naxly_project/baby-care-mobile-app/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:57	66975/66975	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:49%20GMT	http://el.commonsupport.com/newwp/naxly/classic-grid/	D:/NAXLY/el.commonsupport.com/newwp/naxly/classic-grid/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:57	96780/96780	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-1.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-1.png	(from http://el.commonsupport.com/newwp/naxly/)
13:23:57	80420/80420	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:51%20GMT	http://el.commonsupport.com/newwp/naxly/classic-with-s-b/	D:/NAXLY/el.commonsupport.com/newwp/naxly/classic-with-s-b/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Mar%202022%2007:53:57%20GMT	http://el.commonsupport.com/newwp/naxly/?p=667	D:/NAXLY/el.commonsupport.com/newwp/naxly/indexf425.html	(from http://el.commonsupport.com/newwp/naxly/)
13:23:58	14617/14617	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-6.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/banner-1-6.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:00	3308/3308	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-1.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-1.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:03	5117/5117	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-2.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-2.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:04	46866/46866	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:58%20GMT	http://el.commonsupport.com/newwp/naxly/service-01/	D:/NAXLY/el.commonsupport.com/newwp/naxly/service-01/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:04	71039/71039	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:57%20GMT	http://el.commonsupport.com/newwp/naxly/modern-with-s-b/	D:/NAXLY/el.commonsupport.com/newwp/naxly/modern-with-s-b/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:05	47388/47388	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:53:59%20GMT	http://el.commonsupport.com/newwp/naxly/service-02/	D:/NAXLY/el.commonsupport.com/newwp/naxly/service-02/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:07	5681/5681	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-3.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-3.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:08	51945/51945	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:04%20GMT	http://el.commonsupport.com/newwp/naxly/about-01/	D:/NAXLY/el.commonsupport.com/newwp/naxly/about-01/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:09	45811/45811	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:05%20GMT	http://el.commonsupport.com/newwp/naxly/about-02/	D:/NAXLY/el.commonsupport.com/newwp/naxly/about-02/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:13	47244/47244	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:07%20GMT	http://el.commonsupport.com/newwp/naxly/about-04/	D:/NAXLY/el.commonsupport.com/newwp/naxly/about-04/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:13	8365/8365	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-4.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-4.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:13	45937/45937	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:05%20GMT	http://el.commonsupport.com/newwp/naxly/about-03/	D:/NAXLY/el.commonsupport.com/newwp/naxly/about-03/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:14	46874/46874	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:10%20GMT	http://el.commonsupport.com/newwp/naxly/about-05/	D:/NAXLY/el.commonsupport.com/newwp/naxly/about-05/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:15	2509/2509	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-5.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/dollar-5.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:19	46808/46808	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:15%20GMT	http://el.commonsupport.com/newwp/naxly/skills-01/	D:/NAXLY/el.commonsupport.com/newwp/naxly/skills-01/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:21	46624/46624	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:13%20GMT	http://el.commonsupport.com/newwp/naxly/work-01/	D:/NAXLY/el.commonsupport.com/newwp/naxly/work-01/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:21	47706/47706	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:16%20GMT	http://el.commonsupport.com/newwp/naxly/work-02/	D:/NAXLY/el.commonsupport.com/newwp/naxly/work-02/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:21	4104/4104	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/arrow-4.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/arrow-4.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:21	46683/46683	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:13%20GMT	http://el.commonsupport.com/newwp/naxly/about-06/	D:/NAXLY/el.commonsupport.com/newwp/naxly/about-06/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:23	1146/1146	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/decor-1.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/decor-1.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:27	47256/47256	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:21%20GMT	http://el.commonsupport.com/newwp/naxly/skills-02/	D:/NAXLY/el.commonsupport.com/newwp/naxly/skills-02/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:27	49158/49158	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:21%20GMT	http://el.commonsupport.com/newwp/naxly/case-01/	D:/NAXLY/el.commonsupport.com/newwp/naxly/case-01/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:28	48376/48376	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:22%20GMT	http://el.commonsupport.com/newwp/naxly/case-02/	D:/NAXLY/el.commonsupport.com/newwp/naxly/case-02/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:29	52983/52983	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:23%20GMT	http://el.commonsupport.com/newwp/naxly/case-03/	D:/NAXLY/el.commonsupport.com/newwp/naxly/case-03/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:31	4090/4090	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/icon-bg-1.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/icon-bg-1.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:33	59402/59402	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:28%20GMT	http://el.commonsupport.com/newwp/naxly/case-04/	D:/NAXLY/el.commonsupport.com/newwp/naxly/case-04/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:33	45629/45629	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:29%20GMT	http://el.commonsupport.com/newwp/naxly/fun-fact-01/	D:/NAXLY/el.commonsupport.com/newwp/naxly/fun-fact-01/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:36	45260/45260	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:32%20GMT	http://el.commonsupport.com/newwp/naxly/fun-fact-02/	D:/NAXLY/el.commonsupport.com/newwp/naxly/fun-fact-02/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:36	5283/5283	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:09%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/icon-bg-2.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/themes/naxly/assets/images/icons/icon-bg-2.png	(from http://el.commonsupport.com/newwp/naxly/)
13:24:38	45705/45705	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:34%20GMT	http://el.commonsupport.com/newwp/naxly/fun-fact-03/	D:/NAXLY/el.commonsupport.com/newwp/naxly/fun-fact-03/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:42	47207/47207	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:36%20GMT	http://el.commonsupport.com/newwp/naxly/fun-fact-04/	D:/NAXLY/el.commonsupport.com/newwp/naxly/fun-fact-04/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:42	52408/52408	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2007:54:36%20GMT	http://el.commonsupport.com/newwp/naxly/news-01/	D:/NAXLY/el.commonsupport.com/newwp/naxly/news-01/index.html	(from http://el.commonsupport.com/newwp/naxly/)
13:24:45	42681/42681	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2017:06:10%20GMT	http://el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/shape-57.png	D:/NAXLY/el.commonsupport.com/newwp/naxly/wp-content/uploads/2020/03/shape-57.png	(from http://el.commonsupport.com/newwp/naxly/)
